country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,id_calendar,id
China,548,17,0,0,1,126,153
Japan,2,0,0,0,1,126,127
South Korea,1,0,0,0,1,126,109
Taiwan*,1,0,0,0,1,126,65
Thailand,2,0,0,0,1,126,61
US,1,0,0,0,1,126,120
China,643,18,95,1,1,129,153
Japan,2,0,0,0,1,129,127
Singapore,1,0,1,0,1,129,141
South Korea,1,0,0,0,1,129,109
Taiwan*,1,0,0,0,1,129,65
Thailand,3,0,1,0,1,129,61
US,1,0,0,0,1,129,120
Vietnam,2,0,2,0,1,129,66
China,920,26,277,8,1,132,153
France,2,0,2,0,1,132,157
Japan,2,0,0,0,1,132,127
Singapore,3,0,2,0,1,132,141
South Korea,2,0,1,0,1,132,109
Taiwan*,3,0,2,0,1,132,65
Thailand,5,0,2,0,1,132,61
US,2,0,1,0,1,132,120
Vietnam,2,0,0,0,1,132,66
China,1406,42,486,16,1,134,153
France,3,0,1,0,1,134,157
Japan,2,0,0,0,1,134,127
Malaysia,3,0,3,0,1,134,104
Nepal,1,0,1,0,1,134,24
Singapore,3,0,0,0,1,134,141
South Korea,2,0,0,0,1,134,109
Taiwan*,3,0,0,0,1,134,65
Thailand,7,0,2,0,1,134,61
US,2,0,0,0,1,134,120
Vietnam,2,0,0,0,1,134,66
Australia,4,0,4,0,1,137,99
Canada,1,0,1,0,1,137,36
China,2075,56,669,14,1,137,153
France,3,0,0,0,1,137,157
Japan,4,0,2,0,1,137,127
Malaysia,4,0,1,0,1,137,104
Nepal,1,0,0,0,1,137,24
Singapore,4,0,1,0,1,137,141
South Korea,3,0,1,0,1,137,109
Taiwan*,4,0,1,0,1,137,65
Thailand,8,0,1,0,1,137,61
US,5,0,3,0,1,137,120
Vietnam,2,0,0,0,1,137,66
Australia,5,0,1,0,1,68,99
Cambodia,1,0,1,0,1,68,4
Canada,1,0,0,0,1,68,36
China,2877,82,802,26,1,68,153
France,3,0,0,0,1,68,157
Germany,1,0,1,0,1,68,52
Japan,4,0,0,0,1,68,127
Malaysia,4,0,0,0,1,68,104
Nepal,1,0,0,0,1,68,24
Singapore,5,0,1,0,1,68,141
South Korea,4,0,1,0,1,68,109
Sri Lanka,1,0,1,0,1,68,79
Taiwan*,5,0,1,0,1,68,65
Thailand,8,0,0,0,1,68,61
US,5,0,0,0,1,68,120
Vietnam,2,0,0,0,1,68,66
Australia,5,0,0,0,1,69,99
Cambodia,1,0,0,0,1,69,4
Canada,2,0,1,0,1,69,36
China,5509,131,2632,49,1,69,153
France,4,0,1,0,1,69,157
Germany,4,0,3,0,1,69,52
Japan,7,0,3,0,1,69,127
Malaysia,4,0,0,0,1,69,104
Nepal,1,0,0,0,1,69,24
Singapore,7,0,2,0,1,69,141
South Korea,4,0,0,0,1,69,109
Sri Lanka,1,0,0,0,1,69,79
Taiwan*,8,0,3,0,1,69,65
Thailand,14,0,6,0,1,69,61
US,5,0,0,0,1,69,120
Vietnam,2,0,0,0,1,69,66
Australia,6,0,1,0,1,71,99
Cambodia,1,0,0,0,1,71,4
Canada,2,0,0,0,1,71,36
China,6087,133,578,2,1,71,153
Finland,1,0,1,0,1,71,42
France,5,0,1,0,1,71,157
Germany,4,0,0,0,1,71,52
Japan,7,0,0,0,1,71,127
Malaysia,7,0,3,0,1,71,104
Nepal,1,0,0,0,1,71,24
Singapore,7,0,0,0,1,71,141
South Korea,4,0,0,0,1,71,109
Sri Lanka,1,0,0,0,1,71,79
Taiwan*,8,0,0,0,1,71,65
Thailand,14,0,0,0,1,71,61
US,5,0,0,0,1,71,120
United Arab Emirates,4,0,4,0,1,71,83
Vietnam,2,0,0,0,1,71,66
Australia,9,0,3,0,1,41,99
Cambodia,1,0,0,0,1,41,4
Canada,2,0,0,0,1,41,36
China,8141,171,2054,38,1,41,153
Finland,1,0,0,0,1,41,42
France,5,0,0,0,1,41,157
Germany,4,0,0,0,1,41,52
India,1,0,1,0,1,41,35
Japan,11,0,4,0,1,41,127
Malaysia,8,0,1,0,1,41,104
Nepal,1,0,0,0,1,41,24
Philippines,1,0,1,0,1,41,166
Singapore,10,0,3,0,1,41,141
South Korea,4,0,0,0,1,41,109
Sri Lanka,1,0,0,0,1,41,79
Taiwan*,9,0,1,0,1,41,65
Thailand,14,0,0,0,1,41,61
US,5,0,0,0,1,41,120
United Arab Emirates,4,0,0,0,1,41,83
Vietnam,2,0,0,0,1,41,66
Australia,9,0,0,0,1,44,99
Cambodia,1,0,0,0,1,44,4
Canada,4,0,2,0,1,44,36
China,9802,213,1661,42,1,44,153
Finland,1,0,0,0,1,44,42
France,5,0,0,0,1,44,157
Germany,5,0,1,0,1,44,52
India,1,0,0,0,1,44,35
Italy,2,0,2,0,1,44,135
Japan,15,0,4,0,1,44,127
Malaysia,8,0,0,0,1,44,104
Nepal,1,0,0,0,1,44,24
Philippines,1,0,0,0,1,44,166
Russia,2,0,2,0,1,44,146
Singapore,13,0,3,0,1,44,141
South Korea,11,0,7,0,1,44,109
Sri Lanka,1,0,0,0,1,44,79
Sweden,1,0,1,0,1,44,67
Taiwan*,10,0,1,0,1,44,65
Thailand,19,0,5,0,1,44,61
US,7,0,2,0,1,44,120
United Arab Emirates,4,0,0,0,1,44,83
United Kingdom,2,0,2,0,1,44,82
Vietnam,2,0,0,0,1,44,66
Australia,12,0,3,0,1,49,99
Cambodia,1,0,0,0,1,49,4
Canada,4,0,0,0,1,49,36
China,11891,259,2089,46,1,49,153
Finland,1,0,0,0,1,49,42
France,6,0,1,0,1,49,157
Germany,8,0,3,0,1,49,52
India,1,0,0,0,1,49,35
Italy,2,0,0,0,1,49,135
Japan,20,0,5,0,1,49,127
Malaysia,8,0,0,0,1,49,104
Nepal,1,0,0,0,1,49,24
Philippines,1,0,0,0,1,49,166
Russia,2,0,0,0,1,49,146
Singapore,16,0,3,0,1,49,141
South Korea,12,0,1,0,1,49,109
Spain,1,0,1,0,1,49,86
Sri Lanka,1,0,0,0,1,49,79
Sweden,1,0,0,0,1,49,67
Taiwan*,10,0,0,0,1,49,65
Thailand,19,0,0,0,1,49,61
US,8,0,1,0,1,49,120
United Arab Emirates,4,0,0,0,1,49,83
United Kingdom,2,0,0,0,1,49,82
Vietnam,6,0,4,0,1,49,66
Australia,12,0,0,0,1,52,99
Cambodia,1,0,0,0,1,52,4
Canada,4,0,0,0,1,52,36
China,16630,361,4739,102,1,52,153
Finland,1,0,0,0,1,52,42
France,6,0,0,0,1,52,157
Germany,10,0,2,0,1,52,52
India,2,0,1,0,1,52,35
Italy,2,0,0,0,1,52,135
Japan,20,0,0,0,1,52,127
Malaysia,8,0,0,0,1,52,104
Nepal,1,0,0,0,1,52,24
Philippines,2,1,1,1,1,52,166
Russia,2,0,0,0,1,52,146
Singapore,18,0,2,0,1,52,141
South Korea,15,0,3,0,1,52,109
Spain,1,0,0,0,1,52,86
Sri Lanka,1,0,0,0,1,52,79
Sweden,1,0,0,0,1,52,67
Taiwan*,10,0,0,0,1,52,65
Thailand,19,0,0,0,1,52,61
US,8,0,0,0,1,52,120
United Arab Emirates,5,0,1,0,1,52,83
United Kingdom,2,0,0,0,1,52,82
Vietnam,6,0,0,0,1,52,66
Australia,12,0,0,0,1,54,99
Cambodia,1,0,0,0,1,54,4
Canada,4,0,0,0,1,54,36
China,19716,425,3086,64,1,54,153
Finland,1,0,0,0,1,54,42
France,6,0,0,0,1,54,157
Germany,12,0,2,0,1,54,52
India,3,0,1,0,1,54,35
Italy,2,0,0,0,1,54,135
Japan,20,0,0,0,1,54,127
Malaysia,8,0,0,0,1,54,104
Nepal,1,0,0,0,1,54,24
Philippines,2,1,0,0,1,54,166
Russia,2,0,0,0,1,54,146
Singapore,18,0,0,0,1,54,141
South Korea,15,0,0,0,1,54,109
Spain,1,0,0,0,1,54,86
Sri Lanka,1,0,0,0,1,54,79
Sweden,1,0,0,0,1,54,67
Taiwan*,10,0,0,0,1,54,65
Thailand,19,0,0,0,1,54,61
US,11,0,3,0,1,54,120
United Arab Emirates,5,0,0,0,1,54,83
United Kingdom,8,0,6,0,1,54,82
Vietnam,8,0,2,0,1,54,66
Australia,13,0,1,0,1,56,99
Belgium,1,0,1,0,1,56,40
Cambodia,1,0,0,0,1,56,4
Canada,4,0,0,0,1,56,36
China,23707,491,3991,66,1,56,153
Finland,1,0,0,0,1,56,42
France,6,0,0,0,1,56,157
Germany,12,0,0,0,1,56,52
India,3,0,0,0,1,56,35
Italy,2,0,0,0,1,56,135
Japan,22,0,2,0,1,56,127
Malaysia,10,0,2,0,1,56,104
Nepal,1,0,0,0,1,56,24
Philippines,2,1,0,0,1,56,166
Russia,2,0,0,0,1,56,146
Singapore,24,0,6,0,1,56,141
South Korea,16,0,1,0,1,56,109
Spain,1,0,0,0,1,56,86
Sri Lanka,1,0,0,0,1,56,79
Sweden,1,0,0,0,1,56,67
Taiwan*,11,0,1,0,1,56,65
Thailand,25,0,6,0,1,56,61
US,11,0,0,0,1,56,120
United Arab Emirates,5,0,0,0,1,56,83
United Kingdom,8,0,0,0,1,56,82
Vietnam,8,0,0,0,1,56,66
Australia,13,0,0,0,1,59,99
Belgium,1,0,0,0,1,59,40
Cambodia,1,0,0,0,1,59,4
Canada,5,0,1,0,1,59,36
China,27440,563,3733,72,1,59,153
Finland,1,0,0,0,1,59,42
France,6,0,0,0,1,59,157
Germany,12,0,0,0,1,59,52
India,3,0,0,0,1,59,35
Italy,2,0,0,0,1,59,135
Japan,23,0,1,0,1,59,127
Malaysia,12,0,2,0,1,59,104
Nepal,1,0,0,0,1,59,24
Philippines,2,1,0,0,1,59,166
Russia,2,0,0,0,1,59,146
Singapore,28,0,4,0,1,59,141
South Korea,19,0,3,0,1,59,109
Spain,1,0,0,0,1,59,86
Sri Lanka,1,0,0,0,1,59,79
Sweden,1,0,0,0,1,59,67
Taiwan*,11,0,0,0,1,59,65
Thailand,25,0,0,0,1,59,61
US,11,0,0,0,1,59,120
United Arab Emirates,5,0,0,0,1,59,83
United Kingdom,9,0,1,0,1,59,82
Vietnam,8,0,0,0,1,59,66
Australia,14,0,1,0,1,96,99
Belgium,1,0,0,0,1,96,40
Cambodia,1,0,0,0,1,96,4
Canada,5,0,0,0,1,96,36
China,30587,633,3147,70,1,96,153
Finland,1,0,0,0,1,96,42
France,6,0,0,0,1,96,157
Germany,12,0,0,0,1,96,52
India,3,0,0,0,1,96,35
Italy,2,0,0,0,1,96,135
Japan,23,0,0,0,1,96,127
Malaysia,12,0,0,0,1,96,104
Nepal,1,0,0,0,1,96,24
Philippines,2,1,0,0,1,96,166
Russia,2,0,0,0,1,96,146
Singapore,28,0,0,0,1,96,141
South Korea,23,0,4,0,1,96,109
Spain,1,0,0,0,1,96,86
Sri Lanka,1,0,0,0,1,96,79
Sweden,1,0,0,0,1,96,67
Taiwan*,16,0,5,0,1,96,65
Thailand,25,0,0,0,1,96,61
US,11,0,0,0,1,96,120
United Arab Emirates,5,0,0,0,1,96,83
United Kingdom,9,0,0,0,1,96,82
Vietnam,10,0,2,0,1,96,66
Australia,15,0,1,0,1,97,99
Belgium,1,0,0,0,1,97,40
Cambodia,1,0,0,0,1,97,4
Canada,7,0,2,0,1,97,36
China,34110,718,3523,85,1,97,153
Finland,1,0,0,0,1,97,42
France,6,0,0,0,1,97,157
Germany,13,0,1,0,1,97,52
India,3,0,0,0,1,97,35
Italy,3,0,1,0,1,97,135
Japan,23,0,0,0,1,97,127
Malaysia,12,0,0,0,1,97,104
Nepal,1,0,0,0,1,97,24
Philippines,3,1,1,0,1,97,166
Russia,2,0,0,0,1,97,146
Singapore,30,0,2,0,1,97,141
South Korea,24,0,1,0,1,97,109
Spain,1,0,0,0,1,97,86
Sri Lanka,1,0,0,0,1,97,79
Sweden,1,0,0,0,1,97,67
Taiwan*,16,0,0,0,1,97,65
Thailand,25,0,0,0,1,97,61
US,11,0,0,0,1,97,120
United Arab Emirates,5,0,0,0,1,97,83
United Kingdom,9,0,0,0,1,97,82
Vietnam,10,0,0,0,1,97,66
Australia,15,0,0,0,1,98,99
Belgium,1,0,0,0,1,98,40
Cambodia,1,0,0,0,1,98,4
Canada,7,0,0,0,1,98,36
China,36814,805,2704,87,1,98,153
Finland,1,0,0,0,1,98,42
France,11,0,5,0,1,98,157
Germany,13,0,0,0,1,98,52
India,3,0,0,0,1,98,35
Italy,3,0,0,0,1,98,135
Japan,24,0,1,0,1,98,127
Malaysia,16,0,4,0,1,98,104
Nepal,1,0,0,0,1,98,24
Philippines,3,1,0,0,1,98,166
Russia,2,0,0,0,1,98,146
Singapore,33,0,3,0,1,98,141
South Korea,24,0,0,0,1,98,109
Spain,1,0,0,0,1,98,86
Sri Lanka,1,0,0,0,1,98,79
Sweden,1,0,0,0,1,98,67
Taiwan*,17,0,1,0,1,98,65
Thailand,32,0,7,0,1,98,61
US,11,0,0,0,1,98,120
United Arab Emirates,7,0,2,0,1,98,83
United Kingdom,13,0,4,0,1,98,82
Vietnam,13,0,3,0,1,98,66
Australia,15,0,0,0,1,99,99
Belgium,1,0,0,0,1,99,40
Cambodia,1,0,0,0,1,99,4
Canada,7,0,0,0,1,99,36
China,39829,905,3015,100,1,99,153
Finland,1,0,0,0,1,99,42
France,11,0,0,0,1,99,157
Germany,14,0,1,0,1,99,52
India,3,0,0,0,1,99,35
Italy,3,0,0,0,1,99,135
Japan,24,0,0,0,1,99,127
Malaysia,16,0,0,0,1,99,104
Nepal,1,0,0,0,1,99,24
Philippines,3,1,0,0,1,99,166
Russia,2,0,0,0,1,99,146
Singapore,40,0,7,0,1,99,141
South Korea,25,0,1,0,1,99,109
Spain,2,0,1,0,1,99,86
Sri Lanka,1,0,0,0,1,99,79
Sweden,1,0,0,0,1,99,67
Taiwan*,18,0,1,0,1,99,65
Thailand,32,0,0,0,1,99,61
US,11,0,0,0,1,99,120
United Arab Emirates,7,0,0,0,1,99,83
United Kingdom,14,0,1,0,1,99,82
Vietnam,13,0,0,0,1,99,66
Australia,15,0,0,0,1,74,99
Belgium,1,0,0,0,1,74,40
Cambodia,1,0,0,0,1,74,4
Canada,7,0,0,0,1,74,36
China,42354,1012,2525,107,1,74,153
Finland,1,0,0,0,1,74,42
France,11,0,0,0,1,74,157
Germany,14,0,0,0,1,74,52
India,3,0,0,0,1,74,35
Italy,3,0,0,0,1,74,135
Japan,26,0,2,0,1,74,127
Malaysia,18,0,2,0,1,74,104
Nepal,1,0,0,0,1,74,24
Philippines,3,1,0,0,1,74,166
Russia,2,0,0,0,1,74,146
Singapore,45,0,5,0,1,74,141
South Korea,27,0,2,0,1,74,109
Spain,2,0,0,0,1,74,86
Sri Lanka,1,0,0,0,1,74,79
Sweden,1,0,0,0,1,74,67
Taiwan*,18,0,0,0,1,74,65
Thailand,32,0,0,0,1,74,61
US,11,0,0,0,1,74,120
United Arab Emirates,8,0,1,0,1,74,83
United Kingdom,14,0,0,0,1,74,82
Vietnam,14,0,1,0,1,74,66
Australia,15,0,0,0,1,76,99
Belgium,1,0,0,0,1,76,40
Cambodia,1,0,0,0,1,76,4
Canada,7,0,0,0,1,76,36
China,44386,1112,2032,100,1,76,153
Finland,1,0,0,0,1,76,42
France,11,0,0,0,1,76,157
Germany,16,0,2,0,1,76,52
India,3,0,0,0,1,76,35
Italy,3,0,0,0,1,76,135
Japan,27,0,1,0,1,76,127
Malaysia,18,0,0,0,1,76,104
Nepal,1,0,0,0,1,76,24
Philippines,3,1,0,0,1,76,166
Russia,2,0,0,0,1,76,146
Singapore,47,0,2,0,1,76,141
South Korea,28,0,1,0,1,76,109
Spain,2,0,0,0,1,76,86
Sri Lanka,1,0,0,0,1,76,79
Sweden,1,0,0,0,1,76,67
Taiwan*,18,0,0,0,1,76,65
Thailand,33,0,1,0,1,76,61
US,12,0,1,0,1,76,120
United Arab Emirates,8,0,0,0,1,76,83
United Kingdom,15,0,1,0,1,76,82
Vietnam,15,0,1,0,1,76,66
Australia,15,0,0,0,1,79,99
Belgium,1,0,0,0,1,79,40
Cambodia,1,0,0,0,1,79,4
Canada,7,0,0,0,1,79,36
China,46267,1117,1881,5,1,79,153
Finland,1,0,0,0,1,79,42
France,11,0,0,0,1,79,157
Germany,16,0,0,0,1,79,52
India,3,0,0,0,1,79,35
Italy,3,0,0,0,1,79,135
Japan,28,0,1,0,1,79,127
Malaysia,18,0,0,0,1,79,104
Nepal,1,0,0,0,1,79,24
Philippines,3,1,0,0,1,79,166
Russia,2,0,0,0,1,79,146
Singapore,50,0,3,0,1,79,141
South Korea,28,0,0,0,1,79,109
Spain,2,0,0,0,1,79,86
Sri Lanka,1,0,0,0,1,79,79
Sweden,1,0,0,0,1,79,67
Taiwan*,18,0,0,0,1,79,65
Thailand,33,0,0,0,1,79,61
US,12,0,0,0,1,79,120
United Arab Emirates,8,0,0,0,1,79,83
United Kingdom,16,0,1,0,1,79,82
Vietnam,15,0,0,0,1,79,66
Australia,15,0,0,0,1,82,99
Belgium,1,0,0,0,1,82,40
Cambodia,1,0,0,0,1,82,4
Canada,7,0,0,0,1,82,36
China,59895,1369,13628,252,1,82,153
Finland,1,0,0,0,1,82,42
France,11,0,0,0,1,82,157
Germany,16,0,0,0,1,82,52
India,3,0,0,0,1,82,35
Italy,3,0,0,0,1,82,135
Japan,33,1,5,1,1,82,127
Malaysia,19,0,1,0,1,82,104
Nepal,1,0,0,0,1,82,24
Philippines,3,1,0,0,1,82,166
Russia,2,0,0,0,1,82,146
Singapore,58,0,8,0,1,82,141
South Korea,28,0,0,0,1,82,109
Spain,2,0,0,0,1,82,86
Sri Lanka,1,0,0,0,1,82,79
Sweden,1,0,0,0,1,82,67
Taiwan*,18,0,0,0,1,82,65
Thailand,33,0,0,0,1,82,61
US,13,0,1,0,1,82,120
United Arab Emirates,8,0,0,0,1,82,83
United Kingdom,17,0,1,0,1,82,82
Vietnam,16,0,1,0,1,82,66
Australia,15,0,0,0,1,84,99
Belgium,1,0,0,0,1,84,40
Cambodia,1,0,0,0,1,84,4
Canada,7,0,0,0,1,84,36
China,66358,1521,6463,152,1,84,153
Egypt,1,0,1,0,1,84,143
Finland,1,0,0,0,1,84,42
France,11,0,0,0,1,84,157
Germany,16,0,0,0,1,84,52
India,3,0,0,0,1,84,35
Italy,3,0,0,0,1,84,135
Japan,43,1,10,0,1,84,127
Malaysia,19,0,0,0,1,84,104
Nepal,1,0,0,0,1,84,24
Philippines,3,1,0,0,1,84,166
Russia,2,0,0,0,1,84,146
Singapore,67,0,9,0,1,84,141
South Korea,28,0,0,0,1,84,109
Spain,2,0,0,0,1,84,86
Sri Lanka,1,0,0,0,1,84,79
Sweden,1,0,0,0,1,84,67
Taiwan*,18,0,0,0,1,84,65
Thailand,33,0,0,0,1,84,61
US,13,0,0,0,1,84,120
United Arab Emirates,8,0,0,0,1,84,83
United Kingdom,18,0,1,0,1,84,82
Vietnam,16,0,0,0,1,84,66
Australia,15,0,0,0,1,86,99
Belgium,1,0,0,0,1,86,40
Cambodia,1,0,0,0,1,86,4
Canada,7,0,0,0,1,86,36
China,68413,1663,2055,142,1,86,153
Egypt,1,0,0,0,1,86,143
Finland,1,0,0,0,1,86,42
France,12,1,1,1,1,86,157
Germany,16,0,0,0,1,86,52
India,3,0,0,0,1,86,35
Italy,3,0,0,0,1,86,135
Japan,54,1,11,0,1,86,127
Malaysia,22,0,3,0,1,86,104
Nepal,1,0,0,0,1,86,24
Philippines,3,1,0,0,1,86,166
Russia,2,0,0,0,1,86,146
Singapore,72,0,5,0,1,86,141
South Korea,28,0,0,0,1,86,109
Spain,2,0,0,0,1,86,86
Sri Lanka,1,0,0,0,1,86,79
Sweden,1,0,0,0,1,86,67
Taiwan*,18,0,0,0,1,86,65
Thailand,33,0,0,0,1,86,61
US,13,0,0,0,1,86,120
United Arab Emirates,8,0,0,0,1,86,83
United Kingdom,18,0,0,0,1,86,82
Vietnam,16,0,0,0,1,86,66
Australia,15,0,0,0,1,88,99
Belgium,1,0,0,0,1,88,40
Cambodia,1,0,0,0,1,88,4
Canada,7,0,0,0,1,88,36
China,70513,1766,2100,103,1,88,153
Egypt,1,0,0,0,1,88,143
Finland,1,0,0,0,1,88,42
France,12,1,0,0,1,88,157
Germany,16,0,0,0,1,88,52
India,3,0,0,0,1,88,35
Italy,3,0,0,0,1,88,135
Japan,60,1,6,0,1,88,127
Malaysia,22,0,0,0,1,88,104
Nepal,1,0,0,0,1,88,24
Philippines,3,1,0,0,1,88,166
Russia,2,0,0,0,1,88,146
Singapore,75,0,3,0,1,88,141
South Korea,29,0,1,0,1,88,109
Spain,2,0,0,0,1,88,86
Sri Lanka,1,0,0,0,1,88,79
Sweden,1,0,0,0,1,88,67
Taiwan*,20,1,2,1,1,88,65
Thailand,34,0,1,0,1,88,61
US,13,0,0,0,1,88,120
United Arab Emirates,9,0,1,0,1,88,83
United Kingdom,18,0,0,0,1,88,82
Vietnam,16,0,0,0,1,88,66
Australia,15,0,0,0,1,19,99
Belgium,1,0,0,0,1,19,40
Cambodia,1,0,0,0,1,19,4
Canada,8,0,1,0,1,19,36
China,72434,1864,1921,98,1,19,153
Egypt,1,0,0,0,1,19,143
Finland,1,0,0,0,1,19,42
France,12,1,0,0,1,19,157
Germany,16,0,0,0,1,19,52
India,3,0,0,0,1,19,35
Italy,3,0,0,0,1,19,135
Japan,67,1,7,0,1,19,127
Malaysia,22,0,0,0,1,19,104
Nepal,1,0,0,0,1,19,24
Philippines,3,1,0,0,1,19,166
Russia,2,0,0,0,1,19,146
Singapore,77,0,2,0,1,19,141
South Korea,30,0,1,0,1,19,109
Spain,2,0,0,0,1,19,86
Sri Lanka,1,0,0,0,1,19,79
Sweden,1,0,0,0,1,19,67
Taiwan*,22,1,2,0,1,19,65
Thailand,35,0,1,0,1,19,61
US,13,0,0,0,1,19,120
United Arab Emirates,9,0,0,0,1,19,83
United Kingdom,19,0,1,0,1,19,82
Vietnam,16,0,0,0,1,19,66
Australia,15,0,0,0,1,20,99
Belgium,1,0,0,0,1,20,40
Cambodia,1,0,0,0,1,20,4
Canada,8,0,0,0,1,20,36
China,74211,2003,1777,139,1,20,153
Egypt,1,0,0,0,1,20,143
Finland,1,0,0,0,1,20,42
France,12,1,0,0,1,20,157
Germany,16,0,0,0,1,20,52
India,3,0,0,0,1,20,35
Italy,3,0,0,0,1,20,135
Japan,79,2,12,1,1,20,127
Malaysia,22,0,0,0,1,20,104
Nepal,1,0,0,0,1,20,24
Philippines,3,1,0,0,1,20,166
Russia,2,0,0,0,1,20,146
Singapore,81,0,4,0,1,20,141
South Korea,31,0,1,0,1,20,109
Spain,2,0,0,0,1,20,86
Sri Lanka,1,0,0,0,1,20,79
Sweden,1,0,0,0,1,20,67
Taiwan*,22,1,0,0,1,20,65
Thailand,35,0,0,0,1,20,61
US,13,0,0,0,1,20,120
United Arab Emirates,9,0,0,0,1,20,83
United Kingdom,19,0,0,0,1,20,82
Vietnam,16,0,0,0,1,20,66
Australia,15,0,0,0,1,21,99
Belgium,1,0,0,0,1,21,40
Cambodia,1,0,0,0,1,21,4
Canada,8,0,0,0,1,21,36
China,74619,2116,408,113,1,21,153
Egypt,1,0,0,0,1,21,143
Finland,1,0,0,0,1,21,42
France,12,1,0,0,1,21,157
Germany,16,0,0,0,1,21,52
India,3,0,0,0,1,21,35
Iran,2,2,2,2,1,21,15
Italy,3,0,0,0,1,21,135
Japan,85,2,6,0,1,21,127
Malaysia,22,0,0,0,1,21,104
Nepal,1,0,0,0,1,21,24
Philippines,3,1,0,0,1,21,166
Russia,2,0,0,0,1,21,146
Singapore,84,0,3,0,1,21,141
South Korea,31,0,0,0,1,21,109
Spain,2,0,0,0,1,21,86
Sri Lanka,1,0,0,0,1,21,79
Sweden,1,0,0,0,1,21,67
Taiwan*,23,1,1,0,1,21,65
Thailand,35,0,0,0,1,21,61
US,13,0,0,0,1,21,120
United Arab Emirates,9,0,0,0,1,21,83
United Kingdom,20,0,1,0,1,21,82
Vietnam,16,0,0,0,1,21,66
Australia,15,0,0,0,1,1,99
Belgium,1,0,0,0,1,1,40
Cambodia,1,0,0,0,1,1,4
Canada,8,0,0,0,1,1,36
China,75077,2238,458,122,1,1,153
Egypt,1,0,0,0,1,1,143
Finland,1,0,0,0,1,1,42
France,12,1,0,0,1,1,157
Germany,16,0,0,0,1,1,52
India,3,0,0,0,1,1,35
Iran,5,2,3,0,1,1,15
Italy,3,0,0,0,1,1,135
Japan,95,2,10,0,1,1,127
Malaysia,22,0,0,0,1,1,104
Nepal,1,0,0,0,1,1,24
Philippines,3,1,0,0,1,1,166
Russia,2,0,0,0,1,1,146
Singapore,84,0,0,0,1,1,141
South Korea,104,1,73,1,1,1,109
Spain,2,0,0,0,1,1,86
Sri Lanka,1,0,0,0,1,1,79
Sweden,1,0,0,0,1,1,67
Taiwan*,24,1,1,0,1,1,65
Thailand,35,0,0,0,1,1,61
US,13,0,0,0,1,1,120
United Arab Emirates,9,0,0,0,1,1,83
United Kingdom,22,0,2,0,1,1,82
Vietnam,16,0,0,0,1,1,66
Australia,15,0,0,0,1,3,99
Belgium,1,0,0,0,1,3,40
Cambodia,1,0,0,0,1,3,4
Canada,9,0,1,0,1,3,36
China,75550,2238,473,0,1,3,153
Egypt,1,0,0,0,1,3,143
Finland,1,0,0,0,1,3,42
France,12,1,0,0,1,3,157
Germany,16,0,0,0,1,3,52
India,3,0,0,0,1,3,35
Iran,18,4,13,2,1,3,15
Israel,1,0,1,0,1,3,97
Italy,20,1,17,1,1,3,135
Japan,112,2,17,0,1,3,127
Lebanon,1,0,1,0,1,3,87
Malaysia,22,0,0,0,1,3,104
Nepal,1,0,0,0,1,3,24
Philippines,3,1,0,0,1,3,166
Russia,2,0,0,0,1,3,146
Singapore,85,0,1,0,1,3,141
South Korea,204,2,100,1,1,3,109
Spain,2,0,0,0,1,3,86
Sri Lanka,1,0,0,0,1,3,79
Sweden,1,0,0,0,1,3,67
Taiwan*,26,1,2,0,1,3,65
Thailand,35,0,0,0,1,3,61
US,15,0,2,0,1,3,120
United Arab Emirates,9,0,0,0,1,3,83
United Kingdom,23,0,1,0,1,3,82
Vietnam,16,0,0,0,1,3,66
Australia,15,0,0,0,1,5,99
Belgium,1,0,0,0,1,5,40
Cambodia,1,0,0,0,1,5,4
Canada,9,0,0,0,1,5,36
China,77001,2443,1451,205,1,5,153
Egypt,1,0,0,0,1,5,143
Finland,1,0,0,0,1,5,42
France,12,1,0,0,1,5,157
Germany,16,0,0,0,1,5,52
India,3,0,0,0,1,5,35
Iran,28,5,10,1,1,5,15
Israel,1,0,0,0,1,5,97
Italy,62,2,42,1,1,5,135
Japan,137,2,25,0,1,5,127
Lebanon,1,0,0,0,1,5,87
Malaysia,22,0,0,0,1,5,104
Nepal,1,0,0,0,1,5,24
Philippines,3,1,0,0,1,5,166
Russia,2,0,0,0,1,5,146
Singapore,85,0,0,0,1,5,141
South Korea,433,2,229,0,1,5,109
Spain,2,0,0,0,1,5,86
Sri Lanka,1,0,0,0,1,5,79
Sweden,1,0,0,0,1,5,67
Taiwan*,26,1,0,0,1,5,65
Thailand,35,0,0,0,1,5,61
US,15,0,0,0,1,5,120
United Arab Emirates,13,0,4,0,1,5,83
United Kingdom,23,0,0,0,1,5,82
Vietnam,16,0,0,0,1,5,66
Australia,15,0,0,0,1,7,99
Belgium,1,0,0,0,1,7,40
Cambodia,1,0,0,0,1,7,4
Canada,9,0,0,0,1,7,36
Chile,2,0,2,0,1,7,22
China,77022,2445,21,2,1,7,153
Egypt,1,0,0,0,1,7,143
Finland,1,0,0,0,1,7,42
France,12,1,0,0,1,7,157
Germany,16,0,0,0,1,7,52
India,3,0,0,0,1,7,35
Iran,43,8,15,3,1,7,15
Israel,1,0,0,0,1,7,97
Italy,155,3,93,1,1,7,135
Japan,149,2,12,0,1,7,127
